case_id,State abv.,Metro,Areaname,County,Family,Housing,Food,Transportation,Healthcare,Other Necessities ,Childcare,Taxes,Total,median_family_income,num_counties_in_st,st_cost_rank,st_med_aff_rank,st_income_rank
496,GA,0,"Montgomery County, GA",Montgomery County,2p2c,"$7,776","$8,635","$14,195","$15,483","$5,946","$8,173","$5,929","$66,136"," 52,237 ", 159 , 133 , 62 , 105 
497,GA,1,"Morgan County, GA HUD Metro FMR Area",Morgan County,2p2c,"$10,464","$9,264","$15,762","$14,194","$7,148","$11,061","$8,094","$75,988"," 79,033 ", 159 , 33 , 142 , 20 
498,GA,1,"Murray County, GA HUD Metro FMR Area",Murray County,2p2c,"$8,784","$8,755","$13,572","$16,205","$6,355","$9,893","$6,881","$70,445"," 56,741 ", 159 , 61 , 77 , 80 
499,GA,1,"Columbus, GA-AL MSA",Muscogee County,2p2c,"$10,118","$9,744","$12,873","$14,876","$7,197","$10,942","$7,496","$73,247"," 61,686 ", 159 , 46 , 93 , 52 
500,GA,1,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Newton County,2p2c,"$12,345","$8,785","$15,289","$15,487","$7,656","$11,692","$9,027","$80,281"," 64,460 ", 159 , 20 , 74 , 43 
501,GA,1,"Athens-Clarke County, GA MSA",Oconee County,2p2c,"$11,544","$10,464","$15,559","$14,194","$7,974","$11,489","$9,018","$80,241"," 108,720 ", 159 , 21 , 159 , 3 
502,GA,1,"Athens-Clarke County, GA MSA",Oglethorpe County,2p2c,"$8,361","$9,834","$15,599","$14,194","$6,593","$9,926","$7,146","$71,654"," 61,188 ", 159 , 53 , 97 , 57 
503,GA,1,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Paulding County,2p2c,"$14,216","$9,115","$15,506","$15,487","$8,453","$12,581","$10,155","$85,513"," 78,397 ", 159 , 8 , 122 , 21 
504,GA,1,"Peach County, GA HUD Metro FMR Area",Peach County,2p2c,"$8,796","$10,794","$13,969","$15,343","$7,098","$9,999","$7,565","$73,565"," 61,644 ", 159 , 45 , 92 , 53 
505,GA,1,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Pickens County,2p2c,"$10,463","$9,744","$15,653","$15,846","$7,322","$10,797","$8,631","$78,456"," 81,843 ", 159 , 25 , 143 , 14 
506,GA,0,"Pierce County, GA",Pierce County,2p2c,"$7,776","$8,485","$14,188","$15,950","$5,892","$8,081","$5,976","$66,348"," 52,182 ", 159 , 121 , 61 , 107 
507,GA,1,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Pike County,2p2c,"$10,121","$8,575","$16,125","$15,487","$6,774","$10,634","$8,045","$75,760"," 82,986 ", 159 , 34 , 150 , 11 
508,GA,0,"Polk County, GA",Polk County,2p2c,"$8,628","$8,485","$13,900","$15,950","$6,201","$8,289","$6,284","$67,737"," 58,135 ", 159 , 94 , 100 , 67 
509,GA,1,"Pulaski County, GA HUD Metro FMR Area",Pulaski County,2p2c,"$7,776","$8,995","$13,971","$15,343","$6,077","$9,776","$6,421","$68,358"," 56,909 ", 159 , 82 , 89 , 78 
510,GA,0,"Putnam County, GA",Putnam County,2p2c,"$9,228","$8,635","$14,376","$15,447","$6,472","$8,510","$6,628","$69,296"," 64,495 ", 159 , 73 , 127 , 42 
511,GA,0,"Quitman County, GA",Quitman County,2p2c,"$7,776","$9,264","$13,695","$16,417","$6,174","$8,117","$6,281","$67,725"," 41,843 ", 159 , 95 , 8 , 151 
512,GA,0,"Rabun County, GA",Rabun County,2p2c,"$8,280","$8,665","$14,517","$15,196","$6,140","$8,277","$6,176","$67,251"," 54,292 ", 159 , 100 , 79 , 94 
513,GA,0,"Randolph County, GA",Randolph County,2p2c,"$7,776","$9,714","$14,177","$15,663","$6,337","$8,020","$6,350","$68,037"," 36,667 ", 159 , 87 , 2 , 157 
514,GA,1,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",Richmond County,2p2c,"$9,796","$8,995","$13,879","$15,128","$6,809","$10,798","$7,398","$72,802"," 52,820 ", 159 , 48 , 38 , 101 
515,GA,1,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Rockdale County,2p2c,"$12,908","$9,115","$14,910","$15,487","$7,980","$11,959","$9,331","$81,689"," 70,877 ", 159 , 15 , 106 , 30 
516,GA,0,"Schley County, GA",Schley County,2p2c,"$7,776","$9,205","$13,955","$15,663","$6,153","$8,173","$6,133","$67,056"," 51,769 ", 159 , 104 , 55 , 109 
517,GA,0,"Screven County, GA",Screven County,2p2c,"$7,776","$9,234","$14,113","$14,980","$6,164","$8,155","$5,990","$66,412"," 56,501 ", 159 , 119 , 96 , 82 
518,GA,0,"Seminole County, GA",Seminole County,2p2c,"$8,556","$9,444","$14,225","$15,555","$6,522","$8,301","$6,610","$69,213"," 45,537 ", 159 , 75 , 15 , 140 
519,GA,1,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Spalding County,2p2c,"$10,659","$8,545","$14,661","$15,487","$6,958","$10,890","$7,901","$75,100"," 56,830 ", 159 , 36 , 45 , 79 
520,GA,0,"Stephens County, GA",Stephens County,2p2c,"$7,776","$8,455","$14,098","$15,196","$5,881","$8,286","$5,782","$65,474"," 61,493 ", 159 , 150 , 131 , 55 
521,GA,0,"Stewart County, GA",Stewart County,2p2c,"$7,776","$9,534","$13,944","$16,417","$6,272","$8,020","$6,428","$68,391"," 41,814 ", 159 , 81 , 4 , 152 
522,GA,0,"Sumter County, GA",Sumter County,2p2c,"$8,412","$9,205","$13,536","$15,663","$6,383","$8,389","$6,322","$67,909"," 52,183 ", 159 , 90 , 52 , 106 
523,GA,0,"Talbot County, GA",Talbot County,2p2c,"$7,860","$9,534","$14,536","$16,417","$6,303","$8,098","$6,650","$69,399"," 49,830 ", 159 , 71 , 35 , 123 
524,GA,0,"Taliaferro County, GA",Taliaferro County,2p2c,"$7,776","$10,134","$14,458","$15,232","$6,489","$8,174","$6,513","$68,775"," 47,491 ", 159 , 79 , 24 , 132 
525,GA,0,"Tattnall County, GA",Tattnall County,2p2c,"$7,776","$9,025","$13,760","$14,980","$6,088","$8,327","$5,857","$65,812"," 53,824 ", 159 , 145 , 84 , 96 
526,GA,0,"Taylor County, GA",Taylor County,2p2c,"$7,776","$9,175","$13,948","$16,417","$6,142","$8,103","$6,314","$67,874"," 45,474 ", 159 , 91 , 18 , 141 
527,GA,0,"Telfair County, GA",Telfair County,2p2c,"$7,776","$8,785","$13,590","$15,483","$6,001","$7,940","$5,748","$65,323"," 36,271 ", 159 , 152 , 3 , 158 
528,GA,1,"Albany, GA MSA",Terrell County,2p2c,"$7,793","$9,234","$13,987","$15,559","$6,170","$9,525","$6,515","$68,783"," 42,230 ", 159 , 78 , 6 , 149 
529,GA,0,"Thomas County, GA",Thomas County,2p2c,"$9,444","$10,104","$13,466","$15,555","$7,083","$8,743","$7,115","$71,510"," 57,419 ", 159 , 55 , 75 , 75 
530,GA,0,"Tift County, GA",Tift County,2p2c,"$7,776","$9,354","$13,257","$15,555","$6,207","$7,995","$5,911","$66,054"," 54,994 ", 159 , 137 , 90 , 89 
531,GA,0,"Toombs County, GA",Toombs County,2p2c,"$7,776","$8,995","$13,679","$15,483","$6,077","$8,257","$5,946","$66,212"," 55,796 ", 159 , 126 , 94 , 84 
532,GA,0,"Towns County, GA",Towns County,2p2c,"$8,580","$9,055","$14,655","$15,196","$6,390","$8,555","$6,560","$68,989"," 55,090 ", 159 , 77 , 71 , 88 
533,GA,0,"Treutlen County, GA",Treutlen County,2p2c,"$7,776","$8,935","$14,130","$15,483","$6,055","$8,139","$6,017","$66,535"," 50,715 ", 159 , 117 , 48 , 117 
534,GA,0,"Troup County, GA",Troup County,2p2c,"$9,528","$8,545","$13,518","$14,980","$6,549","$8,735","$6,398","$68,253"," 60,430 ", 159 , 83 , 113 , 58 
535,GA,0,"Turner County, GA",Turner County,2p2c,"$7,776","$8,965","$13,974","$15,555","$6,066","$8,174","$6,015","$66,524"," 49,312 ", 159 , 118 , 42 , 125 
536,GA,1,"Macon-Bibb County, GA HUD Metro FMR Area",Twiggs County,2p2c,"$7,181","$8,995","$14,286","$15,343","$5,861","$9,146","$6,101","$66,913"," 54,204 ", 159 , 108 , 80 , 95 
537,GA,0,"Union County, GA",Union County,2p2c,"$7,776","$9,384","$14,778","$15,196","$6,218","$8,271","$6,332","$67,955"," 62,797 ", 159 , 89 , 125 , 49 
538,GA,0,"Upson County, GA",Upson County,2p2c,"$8,052","$8,605","$13,597","$16,417","$6,035","$8,182","$6,123","$67,011"," 54,874 ", 159 , 106 , 86 , 90 
539,GA,1,"Chattanooga, TN-GA MSA",Walker County,2p2c,"$9,106","$9,354","$14,666","$16,672","$6,689","$10,221","$7,764","$74,472"," 59,008 ", 159 , 40 , 64 , 64 
540,GA,1,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Walton County,2p2c,"$12,223","$9,504","$15,548","$15,487","$7,873","$11,633","$9,307","$81,575"," 73,772 ", 159 , 17 , 118 , 26 
541,GA,0,"Ware County, GA",Ware County,2p2c,"$7,836","$8,575","$13,175","$15,950","$5,946","$8,172","$5,771","$65,425"," 50,313 ", 159 , 151 , 53 , 122 
542,GA,0,"Warren County, GA",Warren County,2p2c,"$7,776","$8,755","$14,175","$15,232","$5,990","$8,226","$5,913","$66,067"," 45,930 ", 159 , 136 , 25 , 138 
543,GA,0,"Washington County, GA",Washington County,2p2c,"$7,776","$8,665","$13,835","$15,160","$5,957","$8,043","$5,708","$65,144"," 49,628 ", 159 , 156 , 47 , 124 
544,GA,0,"Wayne County, GA",Wayne County,2p2c,"$7,776","$8,605","$13,724","$13,579","$5,935","$8,057","$5,203","$62,880"," 56,012 ", 159 , 159 , 115 , 83 
545,GA,0,"Webster County, GA",Webster County,2p2c,"$7,776","$9,205","$14,270","$16,417","$6,153","$8,020","$6,393","$68,233"," 50,525 ", 159 , 84 , 41 , 119 
546,GA,0,"Wheeler County, GA",Wheeler County,2p2c,"$7,776","$8,905","$14,023","$15,483","$6,044","$8,173","$5,985","$66,389"," 51,486 ", 159 , 120 , 56 , 111 
547,GA,0,"White County, GA",White County,2p2c,"$8,592","$9,055","$14,638","$15,196","$6,394","$8,300","$6,488","$68,662"," 63,258 ", 159 , 80 , 123 , 47 
548,GA,1,"Dalton, GA HUD Metro FMR Area",Whitfield County,2p2c,"$9,036","$8,635","$13,277","$16,205","$6,403","$10,094","$6,905","$70,556"," 57,705 ", 159 , 60 , 85 , 70 
549,GA,0,"Wilcox County, GA",Wilcox County,2p2c,"$7,776","$8,995","$14,233","$15,447","$6,077","$8,094","$6,047","$66,668"," 50,758 ", 159 , 116 , 46 , 116 
550,GA,0,"Wilkes County, GA",Wilkes County,2p2c,"$8,088","$10,074","$14,382","$15,232","$6,581","$8,206","$6,598","$69,161"," 58,470 ", 159 , 76 , 95 , 66 
551,GA,0,"Wilkinson County, GA",Wilkinson County,2p2c,"$7,800","$8,875","$14,389","$15,160","$6,042","$7,992","$5,943","$66,201"," 52,721 ", 159 , 128 , 68 , 103 
552,GA,1,"Albany, GA MSA",Worth County,2p2c,"$8,819","$8,425","$13,937","$15,559","$6,248","$10,013","$6,722","$69,723"," 54,441 ", 159 , 69 , 59 , 93 
553,HI,0,"Hawaii County, HI",Hawaii County,2p2c,"$17,628","$14,158","$15,781","$14,126","$11,517","$15,510","$15,478","$104,198"," 77,352 ", 5 , 4 , 1 , 5 
554,HI,1,"Urban Honolulu, HI MSA",Honolulu County,2p2c,"$24,876","$13,846","$14,811","$13,856","$14,031","$19,746","$20,508","$121,674"," 103,898 ", 5 , 1 , 4 , 2 
555,HI,1,"Kahului-Wailuku-Lahaina, HI MSA",Kalawao County,2p2c,"$14,973","$14,041","$14,860","$13,856","$10,513","$15,362","$13,530","$97,136"," 129,637 ", 5 , 5 , 5 , 1 
556,HI,0,"Kauai County, HI",Kauai County,2p2c,"$22,824","$13,963","$15,779","$14,126","$13,329","$18,221","$19,356","$117,598"," 95,085 ", 5 , 2 , 3 , 3 
557,HI,1,"Kahului-Wailuku-Lahaina, HI MSA",Maui County,2p2c,"$21,270","$15,094","$15,764","$13,856","$13,176","$17,837","$18,836","$115,833"," 92,013 ", 5 , 3 , 2 , 4 
558,ID,1,"Boise City, ID HUD Metro FMR Area",Ada County,2p2c,"$12,518","$10,464","$14,737","$14,179","$8,327","$15,472","$9,471","$85,169"," 87,161 ", 44 , 2 , 43 , 2 
559,ID,0,"Adams County, ID",Adams County,2p2c,"$8,808","$9,774","$16,687","$14,665","$6,733","$11,814","$7,334","$75,815"," 58,539 ", 44 , 29 , 17 , 32 
560,ID,1,"Pocatello, ID MSA",Bannock County,2p2c,"$9,384","$9,414","$14,545","$14,933","$6,811","$13,517","$7,371","$75,976"," 66,482 ", 44 , 27 , 32 , 15 
561,ID,0,"Bear Lake County, ID",Bear Lake County,2p2c,"$8,808","$8,965","$16,524","$15,204","$6,440","$11,850","$7,127","$74,917"," 68,784 ", 44 , 37 , 38 , 11 
562,ID,0,"Benewah County, ID",Benewah County,2p2c,"$9,936","$10,104","$15,428","$13,946","$7,261","$12,241","$7,464","$76,381"," 54,158 ", 44 , 25 , 6 , 39 
563,ID,0,"Bingham County, ID",Bingham County,2p2c,"$9,024","$8,755","$15,676","$14,449","$6,442","$11,963","$6,681","$72,990"," 66,386 ", 44 , 43 , 36 , 16 
564,ID,0,"Blaine County, ID",Blaine County,2p2c,"$12,780","$14,721","$16,020","$15,168","$9,965","$13,800","$11,438","$93,891"," 73,219 ", 44 , 1 , 18 , 5 
565,ID,1,"Boise City, ID HUD Metro FMR Area",Boise County,2p2c,"$9,486","$9,924","$17,102","$14,179","$7,033","$13,460","$8,140","$79,325"," 72,583 ", 44 , 12 , 37 , 8 
566,ID,0,"Bonner County, ID",Bonner County,2p2c,"$9,948","$10,254","$15,531","$14,557","$7,320","$12,619","$7,855","$78,084"," 67,040 ", 44 , 16 , 31 , 13 
567,ID,1,"Idaho Falls, ID HUD Metro FMR Area",Bonneville County,2p2c,"$9,820","$8,935","$14,905","$15,400","$6,796","$13,818","$7,690","$77,364"," 73,171 ", 44 , 23 , 39 , 6 
568,ID,0,"Boundary County, ID",Boundary County,2p2c,"$8,808","$10,434","$15,831","$14,557","$6,972","$11,850","$7,325","$75,777"," 62,790 ", 44 , 30 , 29 , 21 
569,ID,1,"Butte County, ID HUD Metro FMR Area",Butte County,2p2c,"$9,468","$9,145","$16,716","$16,083","$6,744","$13,580","$8,303","$80,038"," 54,230 ", 44 , 8 , 3 , 38 
570,ID,0,"Camas County, ID",Camas County,2p2c,"$8,808","$9,384","$16,913","$15,168","$6,592","$11,850","$7,404","$76,118"," 62,893 ", 44 , 26 , 26 , 20 
571,ID,1,"Boise City, ID HUD Metro FMR Area",Canyon County,2p2c,"$11,272","$9,025","$15,343","$14,179","$7,354","$14,646","$8,328","$80,148"," 61,813 ", 44 , 7 , 15 , 24 
572,ID,0,"Caribou County, ID",Caribou County,2p2c,"$8,808","$9,085","$16,952","$15,204","$6,483","$11,523","$7,206","$75,260"," 67,129 ", 44 , 32 , 35 , 12 
573,ID,0,"Cassia County, ID",Cassia County,2p2c,"$8,892","$9,534","$15,709","$15,168","$6,677","$11,752","$7,109","$74,841"," 60,098 ", 44 , 38 , 20 , 27 
574,ID,0,"Clark County, ID",Clark County,2p2c,"$9,444","$9,414","$16,160","$16,353","$6,833","$12,237","$7,919","$78,361"," 60,006 ", 44 , 14 , 14 , 29 
575,ID,0,"Clearwater County, ID",Clearwater County,2p2c,"$9,600","$10,074","$15,941","$15,311","$7,129","$12,042","$7,816","$77,913"," 60,097 ", 44 , 18 , 16 , 28 
576,ID,0,"Custer County, ID",Custer County,2p2c,"$9,132","$11,333","$17,032","$15,635","$7,415","$12,049","$8,558","$81,154"," 54,550 ", 44 , 6 , 2 , 37 
577,ID,0,"Elmore County, ID",Elmore County,2p2c,"$9,744","$9,414","$14,765","$14,449","$6,942","$12,477","$7,127","$74,919"," 55,778 ", 44 , 36 , 12 , 35 
578,ID,1,"Logan, UT-ID MSA",Franklin County,2p2c,"$8,010","$9,234","$16,777","$14,933","$6,248","$12,592","$7,128","$74,924"," 66,515 ", 44 , 35 , 33 , 14 
579,ID,0,"Fremont County, ID",Fremont County,2p2c,"$9,012","$9,774","$16,065","$16,353","$6,807","$11,964","$7,780","$77,756"," 64,309 ", 44 , 20 , 28 , 17 
580,ID,1,"Gem County, ID HUD Metro FMR Area",Gem County,2p2c,"$10,788","$9,894","$15,409","$14,179","$7,494","$13,866","$8,272","$79,902"," 57,425 ", 44 , 9 , 10 , 33 
581,ID,0,"Gooding County, ID",Gooding County,2p2c,"$9,012","$9,205","$15,380","$15,168","$6,601","$11,880","$6,963","$74,207"," 61,329 ", 44 , 40 , 27 , 26 
582,ID,0,"Idaho County, ID",Idaho County,2p2c,"$9,324","$10,254","$16,263","$15,311","$7,094","$12,065","$7,880","$78,192"," 52,979 ", 44 , 15 , 4 , 42 
583,ID,1,"Idaho Falls, ID HUD Metro FMR Area",Jefferson County,2p2c,"$9,544","$9,624","$16,267","$15,400","$6,946","$13,631","$8,208","$79,621"," 70,943 ", 44 , 10 , 34 , 9 
584,ID,1,"Jerome County, ID HUD Metro FMR Area",Jerome County,2p2c,"$10,320","$8,545","$15,289","$14,897","$6,836","$13,728","$7,673","$77,288"," 62,489 ", 44 , 24 , 23 , 22 
585,ID,1,"Coeur d'Alene, ID MSA",Kootenai County,2p2c,"$11,352","$10,104","$15,084","$14,287","$7,774","$14,857","$8,813","$82,270"," 69,526 ", 44 , 4 , 30 , 10 
586,ID,0,"Latah County, ID",Latah County,2p2c,"$9,420","$9,624","$14,519","$15,311","$6,900","$12,294","$7,210","$75,279"," 72,920 ", 44 , 31 , 40 , 7 
587,ID,0,"Lemhi County, ID",Lemhi County,2p2c,"$9,576","$11,963","$15,820","$15,635","$7,804","$12,085","$8,643","$81,526"," 58,829 ", 44 , 5 , 11 , 30 
588,ID,0,"Lewis County, ID",Lewis County,2p2c,"$8,808","$9,025","$15,854","$15,311","$6,461","$11,665","$6,927","$74,051"," 56,689 ", 44 , 41 , 13 , 34 
589,ID,0,"Lincoln County, ID",Lincoln County,2p2c,"$10,020","$9,264","$16,233","$15,168","$6,988","$12,193","$7,747","$77,613"," 55,405 ", 44 , 22 , 9 , 36 
590,ID,0,"Madison County, ID",Madison County,2p2c,"$9,600","$8,905","$13,984","$16,353","$6,705","$12,406","$7,175","$75,128"," 43,554 ", 44 , 34 , 1 , 44 
591,ID,0,"Minidoka County, ID",Minidoka County,2p2c,"$8,808","$8,275","$15,811","$15,168","$6,190","$11,850","$6,618","$72,720"," 58,761 ", 44 , 44 , 22 , 31 
592,ID,1,"Lewiston, ID-WA MSA",Nez Perce County,2p2c,"$10,210","$8,995","$14,889","$15,041","$6,959","$13,905","$7,787","$77,785"," 75,763 ", 44 , 19 , 41 , 4 
593,ID,0,"Oneida County, ID",Oneida County,2p2c,"$10,128","$9,175","$16,284","$15,204","$6,994","$12,399","$7,842","$78,025"," 62,474 ", 44 , 17 , 19 , 23 
594,ID,1,"Boise City, ID HUD Metro FMR Area",Owyhee County,2p2c,"$8,404","$9,834","$16,259","$14,179","$6,608","$12,742","$7,198","$75,225"," 53,425 ", 44 , 33 , 7 , 40 
595,ID,0,"Payette County, ID",Payette County,2p2c,"$9,540","$12,053","$15,312","$14,449","$7,824","$12,054","$8,154","$79,385"," 63,818 ", 44 , 11 , 21 , 19 
596,ID,0,"Power County, ID",Power County,2p2c,"$9,768","$9,115","$15,351","$15,204","$6,842","$12,259","$7,351","$75,888"," 61,493 ", 44 , 28 , 24 , 25 
597,ID,0,"Shoshone County, ID",Shoshone County,2p2c,"$9,108","$10,044","$15,317","$13,946","$6,940","$12,060","$7,014","$74,429"," 53,008 ", 44 , 39 , 8 , 41 
598,ID,0,"Teton County, ID",Teton County,2p2c,"$11,316","$9,384","$16,259","$16,353","$7,501","$13,269","$8,997","$83,079"," 92,334 ", 44 , 3 , 44 , 1 
599,ID,1,"Twin Falls County, ID HUD Metro FMR Area",Twin Falls County,2p2c,"$10,248","$9,234","$15,118","$14,897","$7,059","$13,964","$7,943","$78,464"," 64,151 ", 44 , 13 , 25 , 18 
600,ID,0,"Valley County, ID",Valley County,2p2c,"$9,576","$9,954","$16,349","$14,665","$7,077","$12,317","$7,769","$77,706"," 79,062 ", 44 , 21 , 42 , 3 
601,ID,0,"Washington County, ID",Washington County,2p2c,"$8,940","$9,085","$15,716","$14,449","$6,531","$11,652","$6,700","$73,072"," 50,075 ", 44 , 42 , 5 , 43 
602,IL,0,"Adams County, IL",Adams County,2p2c,"$9,312","$8,545","$13,979","$18,242","$6,470","$12,265","$8,996","$77,809"," 70,670 ", 102 , 74 , 59 , 52 
603,IL,1,"Cape Girardeau, MO-IL MSA",Alexander County,2p2c,"$6,537","$8,485","$14,417","$21,550","$5,443","$13,824","$9,377","$79,631"," 46,541 ", 102 , 61 , 1 , 102 
604,IL,1,"Bond County, IL HUD Metro FMR Area",Bond County,2p2c,"$8,880","$8,665","$15,099","$19,323","$6,357","$15,208","$10,238","$83,770"," 78,328 ", 102 , 24 , 69 , 26 
605,IL,1,"Rockford, IL MSA",Boone County,2p2c,"$10,185","$8,305","$14,550","$15,874","$6,700","$16,202","$9,788","$81,603"," 81,081 ", 102 , 36 , 84 , 20 
606,IL,0,"Brown County, IL",Brown County,2p2c,"$10,980","$8,395","$14,567","$18,242","$7,020","$13,182","$9,937","$82,324"," 82,146 ", 102 , 28 , 86 , 19 
607,IL,0,"Bureau County, IL",Bureau County,2p2c,"$8,868","$9,145","$15,092","$18,421","$6,527","$11,901","$9,298","$79,252"," 72,504 ", 102 , 65 , 61 , 44 
608,IL,1,"St. Louis, MO-IL HUD Metro FMR Area",Calhoun County,2p2c,"$7,669","$9,234","$15,808","$19,323","$6,125","$14,481","$10,004","$82,644"," 79,142 ", 102 , 26 , 73 , 25 
609,IL,0,"Carroll County, IL",Carroll County,2p2c,"$8,400","$8,365","$15,095","$17,236","$6,075","$11,837","$8,518","$75,526"," 70,213 ", 102 , 97 , 67 , 53 
610,IL,0,"Cass County, IL",Cass County,2p2c,"$8,400","$8,785","$14,387","$18,242","$6,227","$11,730","$8,720","$76,491"," 63,010 ", 102 , 93 , 27 , 85 
611,IL,1,"Champaign-Urbana, IL MSA",Champaign County,2p2c,"$10,520","$9,234","$13,266","$18,209","$7,158","$16,190","$10,512","$85,089"," 84,634 ", 102 , 18 , 85 , 15 
612,IL,0,"Christian County, IL",Christian County,2p2c,"$8,808","$7,915","$14,705","$18,242","$6,060","$11,871","$8,675","$76,275"," 66,614 ", 102 , 94 , 47 , 70 
613,IL,0,"Clark County, IL",Clark County,2p2c,"$8,700","$8,125","$15,026","$18,062","$6,096","$11,957","$8,772","$76,739"," 68,402 ", 102 , 87 , 51 , 64 
614,IL,0,"Clay County, IL",Clay County,2p2c,"$8,400","$8,275","$15,065","$21,403","$6,042","$11,777","$9,563","$80,525"," 58,816 ", 102 , 55 , 7 , 97 
615,IL,1,"St. Louis, MO-IL HUD Metro FMR Area",Clinton County,2p2c,"$10,044","$8,065","$15,382","$19,323","$6,562","$16,103","$10,747","$86,225"," 82,805 ", 102 , 14 , 76 , 18 
616,IL,0,"Coles County, IL",Coles County,2p2c,"$8,760","$7,885","$13,981","$18,062","$6,031","$12,087","$8,465","$75,270"," 62,852 ", 102 , 99 , 29 , 86 
617,IL,1,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",Cook County,2p2c,"$15,246","$9,564","$11,471","$13,036","$8,990","$19,520","$11,360","$89,187"," 82,910 ", 102 , 10 , 66 , 17 
618,IL,0,"Crawford County, IL",Crawford County,2p2c,"$8,400","$8,275","$15,228","$21,403","$6,042","$11,732","$9,594","$80,674"," 65,641 ", 102 , 52 , 22 , 73 
619,IL,0,"Cumberland County, IL",Cumberland County,2p2c,"$8,400","$8,185","$15,405","$18,062","$6,009","$11,831","$8,753","$76,646"," 72,935 ", 102 , 90 , 71 , 41 
620,IL,1,"DeKalb County, IL HUD Metro FMR Area",DeKalb County,2p2c,"$12,360","$9,624","$13,944","$17,706","$7,966","$18,322","$11,904","$91,826"," 83,201 ", 102 , 8 , 55 , 16 
621,IL,1,"De Witt County, IL HUD Metro FMR Area",De Witt County,2p2c,"$8,400","$8,905","$15,252","$18,209","$6,270","$14,962","$9,835","$81,833"," 71,244 ", 102 , 33 , 45 , 48 
622,IL,0,"Douglas County, IL",Douglas County,2p2c,"$8,400","$8,725","$15,099","$18,062","$6,205","$12,121","$8,943","$77,555"," 70,871 ", 102 , 77 , 60 , 50 
623,IL,1,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",DuPage County,2p2c,"$17,867","$10,194","$13,567","$15,658","$10,167","$21,287","$14,604","$103,343"," 117,059 ", 102 , 1 , 101 , 1 
624,IL,0,"Edgar County, IL",Edgar County,2p2c,"$8,400","$8,575","$14,820","$18,062","$6,151","$11,794","$8,729","$76,531"," 66,862 ", 102 , 92 , 48 , 68 
625,IL,0,"Edwards County, IL",Edwards County,2p2c,"$8,400","$8,395","$15,222","$21,403","$6,085","$12,243","$9,770","$81,519"," 72,826 ", 102 , 37 , 53 , 42 
626,IL,0,"Effingham County, IL",Effingham County,2p2c,"$8,400","$8,365","$15,084","$21,403","$6,075","$12,089","$9,682","$81,098"," 75,177 ", 102 , 40 , 64 , 35 
627,IL,0,"Fayette County, IL",Fayette County,2p2c,"$8,400","$7,765","$15,254","$21,403","$5,857","$11,662","$9,400","$79,742"," 59,388 ", 102 , 60 , 9 , 96 
628,IL,1,"Champaign-Urbana, IL MSA",Ford County,2p2c,"$8,063","$8,935","$15,227","$18,209","$6,159","$14,567","$9,615","$80,774"," 68,558 ", 102 , 50 , 34 , 63 
629,IL,0,"Franklin County, IL",Franklin County,2p2c,"$8,424","$8,845","$14,561","$21,403","$6,257","$11,694","$9,621","$80,805"," 55,996 ", 102 , 47 , 3 , 99 
630,IL,0,"Fulton County, IL",Fulton County,2p2c,"$9,000","$8,005","$14,732","$18,529","$6,162","$12,264","$8,964","$77,655"," 65,026 ", 102 , 76 , 30 , 75 
631,IL,0,"Gallatin County, IL",Gallatin County,2p2c,"$8,400","$8,035","$15,338","$21,403","$5,955","$11,928","$9,588","$80,647"," 57,171 ", 102 , 53 , 4 , 98 
632,IL,0,"Greene County, IL",Greene County,2p2c,"$8,400","$8,395","$15,142","$19,176","$6,085","$11,726","$9,026","$77,949"," 60,583 ", 102 , 72 , 14 , 95 
633,IL,1,"Grundy County, IL HUD Metro FMR Area",Grundy County,2p2c,"$14,124","$9,354","$15,235","$15,802","$8,507","$18,392","$12,291","$93,705"," 90,141 ", 102 , 7 , 77 , 10 
634,IL,0,"Hamilton County, IL",Hamilton County,2p2c,"$8,400","$8,215","$15,144","$21,403","$6,020","$11,732","$9,550","$80,464"," 64,124 ", 102 , 56 , 18 , 79 
635,IL,0,"Hancock County, IL",Hancock County,2p2c,"$8,400","$8,245","$15,393","$18,421","$6,031","$12,056","$8,926","$77,472"," 67,415 ", 102 , 78 , 44 , 65 
636,IL,0,"Hardin County, IL",Hardin County,2p2c,"$8,400","$7,945","$15,229","$21,403","$5,923","$11,732","$9,476","$80,107"," 69,518 ", 102 , 59 , 43 , 56 
637,IL,0,"Henderson County, IL",Henderson County,2p2c,"$8,400","$8,155","$15,460","$18,421","$5,999","$11,825","$8,850","$77,111"," 62,000 ", 102 , 79 , 20 , 91 
638,IL,1,"Davenport-Moline-Rock Island, IA-IL MSA",Henry County,2p2c,"$8,402","$7,975","$15,249","$16,592","$5,934","$14,994","$9,084","$78,231"," 78,150 ", 102 , 70 , 87 , 27 
